,Unnamed: 0,Pulse,Op.Cam,Time,Exp.Cam,Disruption,Comments
114,114,95872,KLDT-O5WB,51.3261,KLDT-E5WE,0.0,"Again, some quite impressive purple UFOs at disruption (disruption eventually goes down). Also seen by KLDT-PWA, KLDT- E5WD and KLDT-E5WC."
115,115,95867,KLDT-O5WB,51.4672,KLDT-E5WE,0.0,Particularly fun purple UFO at view centre durin disruption. Also seen by KLDT-E5WC.
116,116,95716,KLDT-O5WB,45.12257,KLDT-E5WE,0.0,Small one.
117,117,95713,KLDT-O5WB,43.339,KLDT-E5WE,43.664,"UFO seen coming from the divertor in the bottom right part of the image, that corresponds to a increase on radiated light as SL says."
118,118,95660,KLDT-O5WB,48.61479,KLDT-E5WE,0.0,Oct8 NB UFO
119,119,95659,KLDT-O5WB,48.47402,KLDT-E5WE,0.0,"Huge UFO probably from Oct 4 NB, hitting the inner wall."
120,120,95659,KLDT-O5WB,48.47402,KLDT-E5WE,0.0,"Huge UFO probably from Oct 4 NB, hitting the inner wall."
121,121,95659,KLDT-O5WB,48.11373,KLDT-E5WE,0.0,UFO probably from Oct 4 NB
122,122,95633,KLDT-O5WB,47.17739,KLDT-E5WE,50.757,Blue flash
123,123,95572,KLDT-O5WB,50.75033,KLDT-E5WE,0.0,UFOs from outer wall fly into plasma in frames 318-320
124,124,95553,KLDT-O5WB,52.18827,KLDT-E5WE,65.073,Particles next to Lower Hybrid
125,125,95383,KLDT-O5WB,51.16754,KLDT-E5WE,0.0,Big UFO at 51.16754s and other smaller at 55.53117s
126,126,95380,KLDT-O5WB,50.78,KLDT-E5WE,54.431,"UFOs also at 50.902, 51.422, 51.545s"
127,127,95374,KLDT-O5WB,50.81901,KLDT-E5WE,51.164,
128,128,95206,KLDT-O5WB,52.07208,KLDT-E5WE,0.0,"Blue sparks on tile 1, no associated spectroscopy but could be Be"
129,129,94912,KLDT-O5WB,49.31033,KLDT-E5WE,55.152,
130,130,94911,KLDT-O5WB,51.08749,KLDT-E5WE,56.429,UFOs in upper part of vessel
131,131,94885,KLDT-O5WB,41.5562,KLDT-E5WE,65.388,Frame: 88-90 and 117. Seem to originate from Outer limiter
132,132,94796,KLDT-O5WB,46.05712,KLDT-E5WE,50.685,"Frame: 201. Related to the gass puffing. According to SL, nothing to worry about"
133,133,94794,KLDT-O5WB,46.63019,KLDT-E5WE,52.196,on the inner guard limiter. Identified by the KLDT-E5WD as Be
134,134,94637,KLDT-O5WB,47.457,KLDT-E5WE,0.0,"Large UFO near Oct 4 beam duct / wOPLs. Another big bright flash at
50.579. The plasma doesn't seem to notice either?"
135,135,94615,KLDT-O5WB,49.85,KLDT-E5WE,54.63,UFO at the outer limiter; not seen in the protection cameras
136,136,94547,KLDT-O5WB,44.41449,KLDT-E5WE,0.0,UFO coming from left for one frame
137,137,94422,KLDT-O5WB,48.913000000000004,KLDT-E5WE,52.095,Small UFOs in top left of frame
138,138,94292,KLDT-O5WB,,KLDT-E5WD,57.559,"PLasma interacting with ILA frame, Camera Frame: 61 @40.452s"
139,139,94292,KLDT-O5WB,,KLDT-E5WE,57.559,"PLasma interacting with ILA frame, Camera Frame: 61 @40.452s"
140,140,94292,KLDT-O5WB,,KLDT-E5WD,57.559,"PLasma interacting with ILA frame, Camera Frame: 61 @40.452s"
141,141,94292,KLDT-O5WB,,KLDT-E5WE,57.559,"PLasma interacting with ILA frame, Camera Frame: 61 @40.452s"
142,142,94232,KLDT-O5WB,,KLDT-E5WD,0.0,Ti from the top @ Frame: 103 and temperature peak (775C) on the ILA antenna @ Frame: 109
143,143,94232,KLDT-O5WB,,KLDT-E5WE,0.0,Ti from the top @ Frame: 103 and temperature peak (775C) on the ILA antenna @ Frame: 109
144,144,94212,KLDT-O5WB,,KLDT-E5WD,0.0,"Frame: 231, Time: 47.250s"
145,145,94212,KLDT-O5WB,,KLDT-E5WE,0.0,"Frame: 231, Time: 47.250s"
146,146,94211,KLDT-O5WB,,KLDT-E5WD,50.696,"Frame: 221, Time: 46.855s"
147,147,94211,KLDT-O5WB,,KLDT-E5WD,50.696,"Frame: 286, Time: 49.457, Ti falling from UDPT"
148,148,94209,KLDT-O5WB,,KLDT-E5WD,0.0,frame: 329; Time: 51.186s; Titanium influx confirmed by spectroscopy
149,149,94208,KLDT-O5WB,,KLDT-E5WD,52.347,"Frames: 277-281, Time: 49.149,
UFOs at the UDPT, possibly Ti?"
150,150,94207,KLDT-O5WB,,KLDT-E5WD,0.0,"Frame: 337-338, Time: 51.557,
UFOs flying near Outer limiter"
151,151,94206,KLDT-O5WB,,KLDT-E5WD,0.0,"Frame: 323, material falling from the top"
152,152,94161,KLDT-O5WB,48.41,KLDT-E5WE,51.545,Ti to the side of the upper dump plate. Could be KL10
153,153,94135,KLDT-O5WB,49.621,KLDT-E5WE,56.145,UFO at top of machine
154,154,94093,KLDT-O5WB,48.979,KLDT-E5WE,0.0,
155,155,94087,KLDT-O5WB,48.504,KLDT-E5WE,0.0,"UFOs mostly at the top near upper dump plates @ 48.50, 51.26, 51.30,
51.98, 52.42, 52.98s"
156,156,94086,KLDT-O5WB,50.71,KLDT-E5WE,0.0,"Nice UFO (also at 50.87, 51.03,
51.31, 52.23, 52.27s)"
157,157,93727,KLDT-O5WB,50.928000000000004,KLDT-E5WE,0.0,UFOs close to LH frame (Frames 322-324)
158,158,93710,KLDT-O5WB,49.711000000000006,KLDT-E5WE,0.0,Small UFO near the outboard midplane.
159,159,93531,KLDT-O5WB,45.727,KLDT-E5WE,0.0,UFO appears in frame 193.
160,160,93530,KLDT-O5WB,42.178000000000004,KLDT-E5WE,0.0,Small white smudge moves around for 3 frames
161,161,104549,KLDT-O5WB,41.1179,KLDT-E5WE,0.0,Blue UFO seen during the breakdown close to tile 10 also seen by protection camera KLDT- P5WA.
162,162,104464,KLDT-O5WB,41.78479,KLDT-E5WE,0.0,UFO spotted in frames 94 & 127
163,163,104460,KLDT-O5WB,48.527840000000005,KLDT-E5WE,49.873,Yellow UFO on the outboard side over few frames (no information on the spectroscopy about it).
164,164,104458,KLDT-O5WB,40.37591,KLDT-E5WC,48.748,Small UFO visible during the breakdown but also seen by KLDT- P5WA camera.
165,165,104458,KLDT-O5WB,40.37591,KLDT-E5WE,48.748,Small UFO visible during the breakdown but also seen by KLDT- P5WA camera.
